state_idx,topology,interval_1st_coalescent,interval_2nd_coalescent,shorthand_name
0,"({sp1,sp2},sp3)",283673.36-19753803.01,583607.47-41130118.28,"(0, 0, 0)"
1,"({sp1,sp2},sp3)",283673.36-19753803.01,41130118.28-110444836.34,"(0, 0, 1)"
2,"({sp1,sp2},sp3)",283673.36-19753803.01,110444836.34-inf,"(0, 0, 2)"
3,"({sp1,sp2},sp3)",19753803.01-39223972.94,583607.47-41130118.28,"(0, 1, 0)"
4,"({sp1,sp2},sp3)",19753803.01-39223972.94,41130118.28-110444836.34,"(0, 1, 1)"
5,"({sp1,sp2},sp3)",19753803.01-39223972.94,110444836.34-inf,"(0, 1, 2)"
6,"({sp1,sp2},sp3)",39223972.94-58694183.15,583607.47-41130118.28,"(0, 2, 0)"
7,"({sp1,sp2},sp3)",39223972.94-58694183.15,41130118.28-110444836.34,"(0, 2, 1)"
8,"({sp1,sp2},sp3)",39223972.94-58694183.15,110444836.34-inf,"(0, 2, 2)"
9,"((sp1,sp2),sp3)",583607.47-41130118.28,583607.47-41130118.28,"(1, 0, 0)"
10,"((sp1,sp2),sp3)",583607.47-41130118.28,41130118.28-110444836.34,"(1, 0, 1)"
11,"((sp1,sp2),sp3)",583607.47-41130118.28,110444836.34-inf,"(1, 0, 2)"
12,"((sp1,sp2),sp3)",41130118.28-110444836.34,41130118.28-110444836.34,"(1, 1, 1)"
13,"((sp1,sp2),sp3)",41130118.28-110444836.34,110444836.34-inf,"(1, 1, 2)"
14,"((sp1,sp2),sp3)",110444836.34-inf,110444836.34-inf,"(1, 2, 2)"
15,"((sp1,sp3),sp2)",583607.47-41130118.28,583607.47-41130118.28,"(2, 0, 0)"
16,"((sp1,sp3),sp2)",583607.47-41130118.28,41130118.28-110444836.34,"(2, 0, 1)"
17,"((sp1,sp3),sp2)",583607.47-41130118.28,110444836.34-inf,"(2, 0, 2)"
18,"((sp1,sp3),sp2)",41130118.28-110444836.34,41130118.28-110444836.34,"(2, 1, 1)"
19,"((sp1,sp3),sp2)",41130118.28-110444836.34,110444836.34-inf,"(2, 1, 2)"
20,"((sp1,sp3),sp2)",110444836.34-inf,110444836.34-inf,"(2, 2, 2)"
21,"((sp2,sp3),sp1)",583607.47-41130118.28,583607.47-41130118.28,"(3, 0, 0)"
22,"((sp2,sp3),sp1)",583607.47-41130118.28,41130118.28-110444836.34,"(3, 0, 1)"
23,"((sp2,sp3),sp1)",583607.47-41130118.28,110444836.34-inf,"(3, 0, 2)"
24,"((sp2,sp3),sp1)",41130118.28-110444836.34,41130118.28-110444836.34,"(3, 1, 1)"
25,"((sp2,sp3),sp1)",41130118.28-110444836.34,110444836.34-inf,"(3, 1, 2)"
26,"((sp2,sp3),sp1)",110444836.34-inf,110444836.34-inf,"(3, 2, 2)"
